"offer","brand","description","category","activated_date","expiration_date","url"
"Save $5.00","Schick® Disposable Razors","on any TWO (2) Schick® Disposable Razor Packs (excludes 1 ct., Slim Twin® 2 ct. and 6 ct.)","Personal Care > Shaving Needs > Razors & Blades:  Women","2018-03-11T00:01:00-0800","2018-04-12T23:59:00-0700","https://www.coupons.com/coupons/?pid=19251&nid=10&zid=vz89"
"Save $2.00","Cat Chow®","on one (1) 13lb or larger bag of Purina® Cat Chow® brand dry cat food, any variety","Pet Care > Cat Food > Dry","2018-03-04T00:01:00-0800","2018-05-18T23:59:00-0700","https://www.coupons.com/coupons/?pid=19251&nid=10&zid=vz89"
"Save $0.50","KOTEX® FITNESS","on any ONE (1) package of U by KOTEX® FITNESS* Products (not valid on Liners 14-22 ct. or trial size/travel packs)","Personal Care > Feminine Hygiene > Other","2018-02-25T00:01:00-0800","2018-04-14T23:59:00-0700","https://www.coupons.com/coupons/?pid=19251&nid=10&zid=vz89"
"$5.00 OFF","BPI Sports","on ONE (1) bottle of BPI Sports Best Aminos™ Muscle Recovery or 1MR VORTEX™ Pre-Workout Supplement","Health Care > Dietary Supplements > Dietary Supplements","2018-03-01T00:01:00-0800","2018-04-07T23:59:00-0700","https://www.coupons.com/coupons/?pid=19251&nid=10&zid=vz89"
"SAVE $1.00","KIWI®","on any TWO (2) KIWI® Products (excludes KIWI® laces)","Household > Home Supplies > Shoe Care","2018-03-04T00:01:00-0800","2018-04-15T23:59:00-0700","https://www.coupons.com/coupons/?pid=19251&nid=10&zid=vz89"
"$0.55 off","Clorox® Scentiva™ Manual Toilet Bowl Cleaner","on any ONE(1) Clorox® Scentiva™ Manual Toilet Bowl Cleaner.","Household > Household Cleaners/ Supplies > Bowl Cleaners","2018-03-19T00:01:00-0700","2018-05-20T23:59:00-0700","https://www.coupons.com/coupons/?pid=19251&nid=10&zid=vz89"
"Save $2.00","Beyond®","on one (1) 4lb or larger bag of Purina® Beyond® Dry Dog Food, any variety","Pet Care > Dog Food > Dry","2018-03-04T00:01:00-0800","2018-05-03T23:59:00-0700","https://www.coupons.com/coupons/?pid=19251&nid=10&zid=vz89"
"$3.00 OFF","Air Wick® Essential Mist™","on ONE (1) Air Wick® Essential Mist™ Starter Kit (Available at Walmart)","Household > Household Cleaners/ Supplies > Air, Rug & Fabric Care","2018-02-24T00:01:00-0800","2018-05-17T23:59:00-0700","https://www.coupons.com/coupons/?pid=19251&nid=10&zid=vz89"
"$1.00 off","Clorox® Scentiva™ ToiletWand Refills","on any ONE(1) Clorox® Scentiva™ ToiletWand Refills.","Household > Household Cleaners/ Supplies > Bowl Cleaners","2018-03-19T00:01:00-0700","2018-05-20T23:59:00-0700","https://www.coupons.com/coupons/?pid=19251&nid=10&zid=vz89"
"$1.00 OFF","Garnier®","on ANY TWO (2) GARNIER® COLOR SENSATION™ Hair Color products","Personal Care > Hair Care > Hair Coloring","2018-03-19T00:01:00-0700","2018-04-30T23:59:00-0700","https://www.coupons.com/coupons/?pid=19251&nid=10&zid=vz89"
"Save $0.75","Viva® Paper Towel","on any ONE (1) Viva® Paper Towel or Viva® Vantage® Paper Towel 6-pack or larger","Household > Paper/Plastic Products > Towels","2018-03-01T00:01:00-0800","2018-04-07T23:59:00-0700","https://www.coupons.com/coupons/?pid=19251&nid=10&zid=vz89"
"Save $4.00","Florastor","on ONE Florastor product","Health Care > Dietary Supplements > Dietary Supplements","2018-01-15T00:01:00-0800","2019-01-14T23:59:00-0800","https://www.coupons.com/coupons/?pid=19251&nid=10&zid=vz89"
"$0.75 OFF","Ken's® Simply Vinaigrette","any ONE (1) bottle of Ken's® Simply Vinaigrette 16oz","Foods > Dressings > Salad Dressing","2018-03-16T00:01:00-0700","2018-04-30T23:59:00-0700","https://www.coupons.com/coupons/?pid=19251&nid=10&zid=vz89"
"$2.00 OFF","L'Oreal Paris","on ANY ONE (1) L'Oreal Paris Superior Preference or Excellence hair color product","Personal Care > Hair Care > Hair Coloring","2018-03-04T00:01:00-0800","2018-05-04T23:59:00-0700","https://www.coupons.com/coupons/?pid=19251&nid=10&zid=vz89"
"$4.00 OFF","Theravent","on any one (1) Theravent 20 count size","Health Care > Sleeping Aids > Sleeping Aids","2017-12-08T00:01:00-0800","2018-03-31T23:59:00-0700","https://www.coupons.com/coupons/?pid=19251&nid=10&zid=vz89"
"SAVE $1.00","Kellogg's® Special K® Cereals","on any TWO Kellogg's® Special K® Cereals","Foods > Breakfast > Ready to Eat Cereal","2018-03-18T00:01:00-0700","2018-04-23T23:59:00-0700","https://www.coupons.com/coupons/?pid=19251&nid=10&zid=vz89"
"Save $0.75","SCOTT®","on any ONE (1) SCOTT® Towels (6 count or larger)","Household > Paper/Plastic Products > Towels","2018-03-01T00:01:00-0800","2018-04-07T23:59:00-0700","https://www.coupons.com/coupons/?pid=19251&nid=10&zid=vz89"
"$1.00 OFF","METAMUCIL®","ONE Metamucil® Fiber Supplement Product (excludes trial/travel size)","Health Care > Dietary Supplements > Dietary Supplements","2018-03-04T00:01:00-0800","2018-04-30T23:59:00-0700","https://www.coupons.com/coupons/?pid=19251&nid=10&zid=vz89"
"SAVE $0.50","HORMEL™ NATURAL CHOICE™ Snacking","on the purchase of any one (1) HORMEL™ NATURAL CHOICE™ snack product","Foods > Snacks > Salty Snacks","2018-03-01T00:01:00-0800","2018-05-31T23:59:00-0700","https://www.coupons.com/coupons/?pid=19251&nid=10&zid=vz89"
"Save $3.00","Children's Claritin®","on Non-Drowsy Children's Claritin® Syrup (4oz or larger)","Health Care > Cough/Cold Remedies > Cough/Cold: Children","2018-03-15T00:01:00-0700","2018-07-30T23:59:00-0700","https://www.coupons.com/coupons/?pid=19251&nid=10&zid=vz89"
"SAVE $3.00","ApotheCARE","off any ONE (1) ApotheCARE Essentials Product (excludes trial and travel sizes)","Personal Care > Body Wash > Body Wash","2018-03-12T00:01:00-0700","2018-04-21T23:59:00-0700","https://www.coupons.com/coupons/?pid=19251&nid=10&zid=vz89"
"$5.00 OFF","renu®","ONE (1) renu® 2x12 oz. Multi-Purpose Solution","Personal Care > Eye Care > Eye Care","2018-03-18T00:01:00-0700","2018-04-28T23:59:00-0700","https://www.coupons.com/coupons/?pid=19251&nid=10&zid=vz89"
"Save $0.50","Energizer","on any one (1) pack of Energizer® Batteries","Household > Home Supplies > Batteries","2018-03-18T00:01:00-0700","2018-04-21T23:59:00-0700","https://www.coupons.com/coupons/?pid=19251&nid=10&zid=vz89"
"$0.75 Off","Clorox® Scentiva™ Disinfecting Wipes","on any ONE(1) Clorox® Scentiva™ Disinfecting Wipes (33ct+).","Household > Household Cleaners/ Supplies > All Purpose Cleaners:  Wipe","2018-03-19T00:01:00-0700","2018-05-20T23:59:00-0700","https://www.coupons.com/coupons/?pid=19251&nid=10&zid=vz89"
"Save $0.75","COTTONELLE®","on any ONE (1) COTTONELLE® Flushable Wipes (42 ct or higher)","Household > Paper/Plastic Products > Towelettes/ Wipes","2018-03-01T00:01:00-0800","2018-04-07T23:59:00-0700","https://www.coupons.com/coupons/?pid=19251&nid=10&zid=vz89"
"$2.00 OFF","Biotrue® Contact Lens Solution","ONE (1) 10oz Biotrue® multi-purpose solution or larger","Personal Care > Eye Care > Eye Care","2018-03-18T00:01:00-0700","2018-04-18T23:59:00-0700","https://www.coupons.com/coupons/?pid=19251&nid=10&zid=vz89"
"SAVE 50¢","Windex®","on ONE (1) Windex® Foaming Aerosol Glass Cleaner","Household > Household Cleaners/ Supplies > Cleaning Supplies","2018-03-01T00:01:00-0800","2018-04-01T23:59:00-0700","https://www.coupons.com/coupons/?pid=19251&nid=10&zid=vz89"
"$0.75 off","Clorox® Scentiva™ Bathroom Foam Cleaner","on any ONE(1) Clorox® Scentiva™ Bathroom Foam Cleaner (aerosol or trigger).","Household > Household Cleaners/ Supplies > Bathroom Cleaner","2018-03-19T00:01:00-0700","2018-05-20T23:59:00-0700","https://www.coupons.com/coupons/?pid=19251&nid=10&zid=vz89"
"25¢ OFF","CHARMIN®","ONE Charmin® Ultra Soft or Strong Toilet Paper (excludes Charmin® Essentials and trial/travel size)","Household > Paper/Plastic Products > Bathroom Tissue","2018-03-04T00:01:00-0800","2018-04-30T23:59:00-0700","https://www.coupons.com/coupons/?pid=19251&nid=10&zid=vz89"
"SAVE $2.00","NIVEA® In-Shower Body Lotion","On any ONE (1) NIVEA® In-Shower Lotion Product","Personal Care > Skin Care > Hand & Body Lotion","2018-03-11T00:01:00-0800","2018-03-24T23:59:00-0700","https://www.coupons.com/coupons/?pid=19251&nid=10&zid=vz89"
"Save 75¢","9Lives®","on any ONE (1) 3.15 lb bag or larger of 9Lives® dry cat food","Pet Care > Cat Food > Dry","2018-03-15T00:01:00-0700","2018-04-30T23:59:00-0700","https://www.coupons.com/coupons/?pid=19251&nid=10&zid=vz89"
