"offer","brand","description","category","activated_date","expiration_date","url"
"Save $3.00","Schick® Quattro for Women®","on ONE (1) Schick® Quattro for Women® Razor or Refill (excludes Schick® Disposables & Men’s Razor or Refill)","Personal Care > Shaving Needs > Razors & Blades:  Women","2018-03-18T00:01:00-0700","2018-04-15T23:59:00-0700","https://www.coupons.com/coupons/?pid=19251&nid=10&zid=vz89"
"Save $1.50","Burt’s Bees®","on any ONE (1) Burt’s Bees® Lip Color Product","Personal Care > Cosmetics > Lipstick","2018-03-15T00:01:00-0700","2018-05-30T23:59:00-0700","https://www.coupons.com/coupons/?pid=19251&nid=10&zid=vz89"
"Save $6.00","Claritin®","on Non Drowsy Claritin® Allergy Product (45ct or larger)","Health Care > Cough/Cold Remedies > Cough/Cold: Children","2018-03-02T00:01:00-0800","2018-07-30T23:59:00-0700","https://www.coupons.com/coupons/?pid=19251&nid=10&zid=vz89"
"Save $1.00","Fresh Step®","on any one (1) Fresh Step® Cat litter, 18lb+.","Pet Care > Pet Supplies > Cat Litter","2018-02-26T00:01:00-0800","2018-04-22T23:59:00-0700","https://www.coupons.com/coupons/?pid=19251&nid=10&zid=vz89"
"Save $1.00","Gerber®","on any SIX (6) Gerber® Purée 2-Pack Tubs","Baby & Toddler > Baby Food > Baby Food","2018-01-19T00:01:00-0800","2018-03-31T23:59:00-0700","https://www.coupons.com/coupons/?pid=19251&nid=10&zid=vz89"
"SAVE $2.00","Benefiber®","on any ONE (1) Benefiber® product","Health Care > Digestive Aids > Digestive Aids","2018-03-11T00:01:00-0800","2018-04-15T23:59:00-0700","https://www.coupons.com/coupons/?pid=19251&nid=10&zid=vz89"
"Save $1.00","Gerber®","on any FOUR (4) Gerber® Pouches","Baby & Toddler > Baby Food > Baby Food","2018-03-09T00:01:00-0800","2018-03-31T23:59:00-0700","https://www.coupons.com/coupons/?pid=19251&nid=10&zid=vz89"
"$2.50 Off","Boudreaux's Butt Paste®","Any One (1) Boudreaux's Butt Paste® 14oz Max Jar","Baby & Toddler > Baby Products > Diaper Rash Ointment","2018-03-01T00:01:00-0800","2018-04-30T23:59:00-0700","https://www.coupons.com/coupons/?pid=19251&nid=10&zid=vz89"
"Save $0.75","SCOTT®","on ONE (1) package of SCOTT® Bath Tissue 6 rolls or larger","Household > Paper/Plastic Products > Bathroom Tissue","2018-03-01T00:01:00-0800","2018-04-07T23:59:00-0700","https://www.coupons.com/coupons/?pid=19251&nid=10&zid=vz89"
"$1.00 off","Clorox®","any two (2) Clorox® Clean-up® products, Disinfecting Wipes 32ct.+, Liquid Bleach 55oz.+, OR Manual Toilet Bowl Cleaner","Household > Household Cleaners/ Supplies > Cleaning Supplies","2018-03-18T00:01:00-0700","2018-05-18T23:59:00-0700","https://www.coupons.com/coupons/?pid=19251&nid=10&zid=vz89"
"$1.00 OFF","L'Oreal Paris","on ANY ONE (1) L'Oreal Paris Colorista hair color product","Personal Care > Hair Care > Hair Coloring","2018-03-04T00:01:00-0800","2018-05-04T23:59:00-0700","https://www.coupons.com/coupons/?pid=19251&nid=10&zid=vz89"
"25¢ OFF","BOUNTY®","ONE Bounty® Basic Paper Towels (excludes trial/travel size)","Household > Paper/Plastic Products > Towels","2018-03-04T00:01:00-0800","2018-04-30T23:59:00-0700","https://www.coupons.com/coupons/?pid=19251&nid=10&zid=vz89"
"$1.00 off","Liquid-Plumr®","on any ONE (1) Liquid-Plumr® product.","Household > Household Cleaners/ Supplies > Clog Removers","2018-03-18T00:01:00-0700","2018-05-18T23:59:00-0700","https://www.coupons.com/coupons/?pid=19251&nid=10&zid=vz89"
"SAVE $1.00","Adult MOTRIN®","on ONE(1) Adult MOTRIN® product (excludes trial and travel sizes)","Health Care > Internal Analgesics > Internal Analygesic: Adult","2018-02-25T00:01:00-0800","2018-04-30T23:59:00-0700","https://www.coupons.com/coupons/?pid=19251&nid=10&zid=vz89"
"$0.75 off","Clorox® Scentiva™ Multi-Surface Cleaner","on any ONE(1) Clorox® Scentiva™ Multi-Surface Cleaner.","Household > Household Cleaners/ Supplies > Cleaning Supplies","2018-03-19T00:01:00-0700","2018-05-20T23:59:00-0700","https://www.coupons.com/coupons/?pid=19251&nid=10&zid=vz89"
"$2.00 OFF","Clairol®","ONE (1) box of Clairol® Color Crave or Specialty Blonding Collection (excludes trial/travel size)","Personal Care > Hair Care > Women","2018-03-11T00:01:00-0800","2018-04-07T23:59:00-0700","https://www.coupons.com/coupons/?pid=19251&nid=10&zid=vz89"
"$2.00 OFF","L'Oreal Paris","on ANY ONE (1) L'Oreal Paris EVER hair care shampoo, conditioner or treatment product (excludes 3 oz. size and sheet masks)","Personal Care > Hair Care > Women","2018-03-04T00:01:00-0800","2018-04-03T23:59:00-0700","https://www.coupons.com/coupons/?pid=19251&nid=10&zid=vz89"
"Save $0.50","KOTEX® Tampons","on any ONE (1) package of U by KOTEX® Tampons (not valid on trial size/travel packs. Excludes U by KOTEX® FITNESS*)","Personal Care > Feminine Hygiene > Other","2018-02-25T00:01:00-0800","2018-04-14T23:59:00-0700","https://www.coupons.com/coupons/?pid=19251&nid=10&zid=vz89"
"Save $1.00","Gaviscon®","on any ONE (1) 12 oz or 100 count Gaviscon® Product","Health Care > Antacids/Acid Blocker > Antacids: Adult","2018-03-11T00:01:00-0800","2018-04-25T23:59:00-0700","https://www.coupons.com/coupons/?pid=19251&nid=10&zid=vz89"
"SAVE 35¢","Scrubbing Bubbles®","on any ONE (1) Scrubbing Bubbles® Toilet Bowl Cleaner","Household > Household Cleaners/ Supplies > Bowl Cleaners","2018-03-19T00:01:00-0700","2018-06-23T23:59:00-0700","https://www.coupons.com/coupons/?pid=19251&nid=10&zid=vz89"
"Save $2.00","Beyond®","on one (1) 3lb or larger bag of Purina® Beyond® Dry Cat Food, any variety","Pet Care > Cat Food > Dry","2018-03-04T00:01:00-0800","2018-05-03T23:59:00-0700","https://www.coupons.com/coupons/?pid=19251&nid=10&zid=vz89"
"$2.00 OFF","L'Oreal Paris","on ANY ONE (1) L'Oreal Paris Cosmetic Face product (excluding Magic Perfecting Base 0.17 FL oz. mini size)","Personal Care > Cosmetics > Foundation/Make-Up","2018-03-04T00:01:00-0800","2018-04-03T23:59:00-0700","https://www.coupons.com/coupons/?pid=19251&nid=10&zid=vz89"
"Save $1.00","Bull Dog® Product","on any ONE (1) Bull Dog® Product","Personal Care > Skin Care > Facial Care","2018-03-01T00:01:00-0800","2018-07-18T23:59:00-0700","https://www.coupons.com/coupons/?pid=19251&nid=10&zid=vz89"
"Save $1.25","Meow Mix®","on any ONE (1) Meow Mix® Simple Servings® 12-pack or 24-pack","Pet Care > Cat Food > Canned","2018-03-15T00:01:00-0700","2018-05-31T23:59:00-0700","https://www.coupons.com/coupons/?pid=19251&nid=10&zid=vz89"
"Save $1.00","Tidy Cats®","on one (1) package of Purina® Tidy Cats® brand Clumping Cat Litter, any size, any variety (excluding Tidy Cats® LightWeight Cat","Pet Care > Pet Supplies > Cat Litter","2018-02-12T00:01:00-0800","2018-05-31T23:59:00-0700","https://www.coupons.com/coupons/?pid=19251&nid=10&zid=vz89"
"Save $1.00","Pup-Peroni®","on any TWO (2) Pup-Peroni® dog snacks","Pet Care > Dog Treats > Dog Treats","2018-03-01T00:01:00-0800","2018-05-30T23:59:00-0700","https://www.coupons.com/coupons/?pid=19251&nid=10&zid=vz89"
"GET $0.50 OFF","HUGGIES®","any ONE (1) package of HUGGIES® Wipes (48 ct. or higher)","Baby & Toddler > Baby Products > Baby Wipes","2018-03-01T00:01:00-0800","2018-04-14T23:59:00-0700","https://www.coupons.com/coupons/?pid=19251&nid=10&zid=vz89"
