"offer","brand","description","activated_date","expiration_date","url"
"Save $4.00","ZYRTEC","on any ONE (1) Adult ZYRTEC® product (24-45ct)","2018-03-04T00:01:00-0800","2018-03-31T23:59:00-0700","https://www.coupons.com/coupons/?pid=19251&nid=10&zid=vz89"
"Save $1.00","TYLENOL or MOTRIN","on any ONE (1) Children's or Infants' TYLENOL® or Children's or Infants' MOTRIN® product","2018-02-26T00:01:00-0800","2018-04-15T23:59:00-0700","https://www.coupons.com/coupons/?pid=19251&nid=10&zid=vz89"
"Save $1.00","Fresh Step®","on any one (1) Fresh Step® Cat litter, 18lb+.","2018-02-26T00:01:00-0800","2018-04-22T23:59:00-0700","https://www.coupons.com/coupons/?pid=19251&nid=10&zid=vz89"
"SAVE 50¢","Windex®","on ONE (1) Windex® Foaming Aerosol Glass Cleaner","2018-03-01T00:01:00-0800","2018-04-01T23:59:00-0700","https://www.coupons.com/coupons/?pid=19251&nid=10&zid=vz89"
"Save $4.00","Claritin-D®","on Non-Drowsy Claritin-D® Allergy Product (15ct or larger)","2018-03-02T00:01:00-0800","2018-07-30T23:59:00-0700","https://www.coupons.com/coupons/?pid=19251&nid=10&zid=vz89"
"$1.50 OFF","PAMPERS®","ONE Pampers® UnderJams Absorbent Night Wear (excludes trial/travel size)","2018-03-07T00:01:00-0800","2018-07-31T23:59:00-0700","https://www.coupons.com/coupons/?pid=19251&nid=10&zid=vz89"
"$0.75 OFF","Lime-A-Way","any ONE (1) Lime-A-Way Product","2018-02-28T00:01:00-0800","2018-04-16T23:59:00-0700","https://www.coupons.com/coupons/?pid=19251&nid=10&zid=vz89"
"Save $1.00","Gerber®","on any TWO (2) Gerber® Cereals","2018-03-01T00:01:00-0800","2018-03-31T23:59:00-0700","https://www.coupons.com/coupons/?pid=19251&nid=10&zid=vz89"
"Save $2.00","Beyond®","on one (1) 3lb or larger bag of Purina® Beyond® Dry Cat Food, any variety","2018-03-04T00:01:00-0800","2018-05-03T23:59:00-0700","https://www.coupons.com/coupons/?pid=19251&nid=10&zid=vz89"
"Save $0.50","KOTEX® Pads","on any ONE (1) package of U by KOTEX® Pads (not valid on trial size/travel packs. Excludes U by KOTEX® FITNESS*)","2018-02-25T00:01:00-0800","2018-04-14T23:59:00-0700","https://www.coupons.com/coupons/?pid=19251&nid=10&zid=vz89"
"Save $1.00","Bella®","on one (1) bag of Purina® Bella® Dry Dog Food, any size, any variety","2018-03-05T00:01:00-0800","2018-04-12T23:59:00-0700","https://www.coupons.com/coupons/?pid=19251&nid=10&zid=vz89"
"Save $6.00","Claritin®","on Non Drowsy Claritin® Allergy Product (45ct or larger)","2018-03-02T00:01:00-0800","2018-07-30T23:59:00-0700","https://www.coupons.com/coupons/?pid=19251&nid=10&zid=vz89"
"Save $1.00","Fancy Feast®","on ten (10) 3oz cans of Purina® Fancy Feast® Medley's Gourmet Cat Food, any variety","2018-03-04T00:01:00-0800","2018-05-03T23:59:00-0700","https://www.coupons.com/coupons/?pid=19251&nid=10&zid=vz89"
"Save $0.50","KOTEX® Tampons","on any ONE (1) package of U by KOTEX® Tampons (not valid on trial size/travel packs. Excludes U by KOTEX® FITNESS*)","2018-02-25T00:01:00-0800","2018-04-14T23:59:00-0700","https://www.coupons.com/coupons/?pid=19251&nid=10&zid=vz89"
"$3.00 OFF","Air Wick® Essential Mist™","on ONE (1) Air Wick® Essential Mist™ Starter Kit (Available at Walmart)","2018-02-24T00:01:00-0800","2018-05-17T23:59:00-0700","https://www.coupons.com/coupons/?pid=19251&nid=10&zid=vz89"
"SAVE $4.00","CLEAR CARE® Solution","on any ONE (1) CLEAR CARE® or CLEAR CARE® PLUS® Solution Twin Pack Only","2018-03-04T00:01:00-0800","2018-03-31T23:59:00-0700","https://www.coupons.com/coupons/?pid=19251&nid=10&zid=vz89"
"Save $0.50","KOTEX® Liners","on any ONE (1) package of U by KOTEX® Liners (not valid on Liners 14-22 ct. or trial size/travel packs. Excludes U by KOTEX®","2018-02-25T00:01:00-0800","2018-04-14T23:59:00-0700","https://www.coupons.com/coupons/?pid=19251&nid=10&zid=vz89"
"Save $3.00","Beyond®","on one (1) 13lb or larger bag of Purina® Beyond® Dry Dog Food, any variety","2018-03-04T00:01:00-0800","2018-05-03T23:59:00-0700","https://www.coupons.com/coupons/?pid=19251&nid=10&zid=vz89"
"Save $1.00","ARM & HAMMER™","on ONE (1) ARM & HAMMER™ Spinbrush™ Battery or Refill","2018-03-04T00:01:00-0800","2018-04-13T23:59:00-0700","https://www.coupons.com/coupons/?pid=19251&nid=10&zid=vz89"
"$2.00 OFF","Air Wick® Essential Mist™","on ONE (1) Air Wick® Essential Mist™ Refill (Available at Walmart)","2018-02-24T00:01:00-0800","2018-05-17T23:59:00-0700","https://www.coupons.com/coupons/?pid=19251&nid=10&zid=vz89"
"Save $1.00","Beyond®","on ANY five (5) cans of Purina® Beyond® wet cat food","2018-03-04T00:01:00-0800","2018-05-03T23:59:00-0700","https://www.coupons.com/coupons/?pid=19251&nid=10&zid=vz89"
"GET $2.00 OFF","HUGGIES®","any ONE (1) package of HUGGIES® LITTLE SWIMMERS® Disposable Swimpants (10 ct. or larger)","2018-03-01T00:01:00-0800","2018-04-14T23:59:00-0700","https://www.coupons.com/coupons/?pid=19251&nid=10&zid=vz89"
"SAVE $2.00","KIWI®","off any ONE (1) KIWI® Protectors Product","2018-03-04T00:01:00-0800","2018-05-06T23:59:00-0700","https://www.coupons.com/coupons/?pid=19251&nid=10&zid=vz89"
"$0.75 OFF","RESOLVE®","any ONE (1) RESOLVE® PET Carpet Stain Remover or PET High Traffic Foam","2018-02-28T00:01:00-0800","2018-04-16T23:59:00-0700","https://www.coupons.com/coupons/?pid=19251&nid=10&zid=vz89"
"Save $0.50","KOTEX® FITNESS","on any ONE (1) package of U by KOTEX® FITNESS* Products (not valid on Liners 14-22 ct. or trial size/travel packs)","2018-02-25T00:01:00-0800","2018-04-14T23:59:00-0700","https://www.coupons.com/coupons/?pid=19251&nid=10&zid=vz89"
"Save $1.00","Gerber®","on any FOUR (4) Gerber® Meals","2018-03-01T00:01:00-0800","2018-03-31T23:59:00-0700","https://www.coupons.com/coupons/?pid=19251&nid=10&zid=vz89"
"SAVE $1.00","KIWI®","on any TWO (2) KIWI® Products (excludes KIWI® laces)","2018-03-04T00:01:00-0800","2018-04-15T23:59:00-0700","https://www.coupons.com/coupons/?pid=19251&nid=10&zid=vz89"
"SAVE $1.00","Adult MOTRIN®","on ONE(1) Adult MOTRIN® product (excludes trial and travel sizes)","2018-02-25T00:01:00-0800","2018-04-30T23:59:00-0700","https://www.coupons.com/coupons/?pid=19251&nid=10&zid=vz89"
"$0.50 OFF","RESOLVE®","any ONE (1) RESOLVE® Carpet Stain Remover or High Traffic Foam","2018-02-26T00:01:00-0800","2018-04-16T23:59:00-0700","https://www.coupons.com/coupons/?pid=19251&nid=10&zid=vz89"
"SAVE $2.00","KIWI®","off any ONE (1) KIWI® Cleaners Product","2018-03-04T00:01:00-0800","2018-05-06T23:59:00-0700","https://www.coupons.com/coupons/?pid=19251&nid=10&zid=vz89"
"SAVE $3.00","Nasacort® Allergy 24HR","on ONE (1) Nasacort® Allergy 24HR 60 Spray","2018-03-04T00:01:00-0800","2018-04-07T23:59:00-0700","https://www.coupons.com/coupons/?pid=19251&nid=10&zid=vz89"
"$4.00 OFF","Theravent","on any one (1) Theravent 20 count size","2017-12-08T00:01:00-0800","2018-03-31T23:59:00-0700","https://www.coupons.com/coupons/?pid=19251&nid=10&zid=vz89"
"SAVE $1.75","Breathe Right®","on any ONE (1) Breathe Right® Nasal Strips Product 26 count or larger","2018-03-04T00:01:00-0800","2018-04-30T23:59:00-0700","https://www.coupons.com/coupons/?pid=19251&nid=10&zid=vz89"
"$1.50 Off","Boudreaux's Butt Paste®","Any One (1) Boudreaux's Butt Paste® 4oz tube","2018-03-01T00:01:00-0800","2018-04-30T23:59:00-0700","https://www.coupons.com/coupons/?pid=19251&nid=10&zid=vz89"
"Save $1.00","Bull Dog® Product","on any ONE (1) Bull Dog® Product","2018-03-01T00:01:00-0800","2018-07-18T23:59:00-0700","https://www.coupons.com/coupons/?pid=19251&nid=10&zid=vz89"
"SAVE $1.00 ON ONE","Cascadian Farm™","when you buy ONE POUCH any flavor/variety Cascadian Farm™ Organic Pouch Granola","2018-03-01T00:01:00-0800","2018-04-30T23:59:00-0700","https://www.coupons.com/coupons/?pid=19251&nid=10&zid=vz89"
"Save $2.00","Mucinex","off any ONE (1) Mucinex® Product (14ct or Higher)","2018-01-01T00:01:00-0800","2018-04-30T23:59:00-0700","https://www.coupons.com/coupons/?pid=19251&nid=10&zid=vz89"
"Save $1.00","Gerber®","on any FOUR (4) Gerber® Snacks","2018-02-01T00:01:00-0800","2018-03-31T23:59:00-0700","https://www.coupons.com/coupons/?pid=19251&nid=10&zid=vz89"
"$1.00 OFF","L'Oreal Paris","on ANY ONE (1) L'Oreal Paris Colorista hair color product","2018-03-04T00:01:00-0800","2018-05-04T23:59:00-0700","https://www.coupons.com/coupons/?pid=19251&nid=10&zid=vz89"
"Save $3.00","FLONASE®","on any FLONASE® or FLONASE® Sensimist™ Spray 60 ct or larger","2018-02-11T00:01:00-0800","2018-07-31T23:59:00-0700","https://www.coupons.com/coupons/?pid=19251&nid=10&zid=vz89"
"SAVE $3.00","MUSCLE MILK® Brand","on any ONE (1) MUSCLE MILK® Protein Powder (1.65lb or larger)","2018-01-04T00:01:00-0800","2018-04-30T23:59:00-0700","https://www.coupons.com/coupons/?pid=19251&nid=10&zid=vz89"
"Save $5.00","FLONASE®","on any FLONASE® or FLONASE® Sensimist™ Spray 120 ct or larger","2018-02-11T00:01:00-0800","2018-07-31T23:59:00-0700","https://www.coupons.com/coupons/?pid=19251&nid=10&zid=vz89"
"$1.00 OFF","METAMUCIL®","ONE Metamucil® Fiber Supplement Product (excludes trial/travel size)","2018-03-04T00:01:00-0800","2018-04-30T23:59:00-0700","https://www.coupons.com/coupons/?pid=19251&nid=10&zid=vz89"
"$1.00 OFF","PRILOSEC OTC®","ONE Prilosec OTC® Product (excludes trial/travel size)","2018-03-04T00:01:00-0800","2018-04-30T23:59:00-0700","https://www.coupons.com/coupons/?pid=19251&nid=10&zid=vz89"
"$4.00 OFF","Phillips®","on any ONE (1) Phillips® Colon Health 30ct or Higher","2018-03-04T00:01:00-0800","2018-04-30T23:59:00-0700","https://www.coupons.com/coupons/?pid=19251&nid=10&zid=vz89"
"SAVE $2.00","Lotrimin Ultra®","on any ONE (1) Lotrimin Ultra® product","2018-01-31T00:01:00-0800","2018-04-14T23:59:00-0700","https://www.coupons.com/coupons/?pid=19251&nid=10&zid=vz89"
"$2.00 OFF","Differin","on ONE (1) Differin Gel (15g or 45g)","2018-03-04T00:01:00-0800","2018-03-31T23:59:00-0700","https://www.coupons.com/coupons/?pid=19251&nid=10&zid=vz89"
"$2.50 Off","Boudreaux's Butt Paste®","Any One (1) Boudreaux's Butt Paste® 14oz Max Jar","2018-03-01T00:01:00-0800","2018-04-30T23:59:00-0700","https://www.coupons.com/coupons/?pid=19251&nid=10&zid=vz89"
"SAVE $3.00","STOPAIN®","on any ONE (1) Stopain® Product","2018-02-15T00:01:00-0800","2018-05-15T23:59:00-0700","https://www.coupons.com/coupons/?pid=19251&nid=10&zid=vz89"
"Save $6.00","Florastor","on ONE Florastor 50 cap, FlorastorPre or FlorastorPlus","2018-01-15T00:01:00-0800","2019-01-14T23:59:00-0800","https://www.coupons.com/coupons/?pid=19251&nid=10&zid=vz89"
"$1.00 OFF","METAMUCIL®","ONE Metamucil® Appetite Control Fiber Supplement Product (excludes trial/travel size)","2018-03-04T00:01:00-0800","2018-04-30T23:59:00-0700","https://www.coupons.com/coupons/?pid=19251&nid=10&zid=vz89"
"$2.00 Off","Delsym®","on ONE (1) Delsym any size","2018-01-01T00:01:00-0800","2018-03-31T23:59:00-0700","https://www.coupons.com/coupons/?pid=19251&nid=10&zid=vz89"
"Save $3.00","Estroven®","on any ONE (1) Estroven® product","2017-12-30T00:01:00-0800","2018-05-31T23:59:00-0700","https://www.coupons.com/coupons/?pid=19251&nid=10&zid=vz89"
"Save $4.00","Florastor","on ONE Florastor product","2018-01-15T00:01:00-0800","2019-01-14T23:59:00-0800","https://www.coupons.com/coupons/?pid=19251&nid=10&zid=vz89"
"$5.00 OFF","BPI Sports","on ONE (1) bottle of BPI Sports Best Aminos™ Muscle Recovery or 1MR VORTEX™ Pre-Workout Supplement","2018-03-01T00:01:00-0800","2018-04-07T23:59:00-0700","https://www.coupons.com/coupons/?pid=19251&nid=10&zid=vz89"
"$15 OFF","FoodSaver®","on any ONE (1) FoodSaver® FM2000 Vacuum Sealing System","2018-03-01T00:01:00-0800","2018-05-15T23:59:00-0700","https://www.coupons.com/coupons/?pid=19251&nid=10&zid=vz89"
