"offer","brand","description","activated_date","expiration_date","url"
"$2.00 OFF","Garnier®","on ANY ONE (1) Garnier® Skin Active™ product (excluding trial, travel sizes and masks)","2018-03-04T00:01:00-0800","2018-04-18T23:59:00-0700","https://www.coupons.com/coupons/?pid=19251&nid=10&zid=vz89"
"SAVE $1.00","Newman's Own®","on any ONE (1) Newman's Own® Thin & Crispy Pizza","2018-01-16T00:01:00-0800","2018-07-30T23:59:00-0700","https://www.coupons.com/coupons/?pid=19251&nid=10&zid=vz89"
"Save $1.00","Giovanni Rana™ Refrigerated Pasta","on ONE (1) Giovanni Rana Refrigerated Pasta Item","2018-02-26T00:01:00-0800","2018-04-30T23:59:00-0700","https://www.coupons.com/coupons/?pid=19251&nid=10&zid=vz89"
"Save $2.00","AVEENO®","off any (1) AVEENO® Baby Product (excludes 1oz)","2018-02-25T00:01:00-0800","2018-04-07T23:59:00-0700","https://www.coupons.com/coupons/?pid=19251&nid=10&zid=vz89"
"$0.50 OFF","Lysol®","any ONE (1) Lysol® Disinfectant Spray or Lysol Disinfectant Max Cover Mist (12.5 oz or larger)","2018-03-04T00:01:00-0800","2018-04-14T23:59:00-0700","https://www.coupons.com/coupons/?pid=19251&nid=10&zid=vz89"
"$2.00 OFF","L'Oreal Paris","on ANY ONE (1) L'Oreal Paris Lip product","2018-03-04T00:01:00-0800","2018-04-28T23:59:00-0700","https://www.coupons.com/coupons/?pid=19251&nid=10&zid=vz89"
"$1.50 OFF","L'Oreal Paris","on ANY ONE (1) L'Oreal Paris Eye product","2018-03-04T00:01:00-0800","2018-04-03T23:59:00-0700","https://www.coupons.com/coupons/?pid=19251&nid=10&zid=vz89"
"$3.00 off","Blue Rhino®","any ONE (1) Blue Rhino® Ready-to-Grill Propane Tank (with or without exchanging an empty tank)","2018-03-08T00:01:00-0800","2018-03-31T23:59:00-0700","https://www.coupons.com/coupons/?pid=19251&nid=10&zid=vz89"
"SAVE 75¢","Pledge®","on any ONE (1) Pledge® Furniture Care Product","2018-02-25T00:01:00-0800","2018-04-25T23:59:00-0700","https://www.coupons.com/coupons/?pid=19251&nid=10&zid=vz89"
"SAVE $1.00","SKIPPY® Brand","on the purchase of any one (1) SKIPPY® P.B. Bites products","2018-03-01T00:01:00-0800","2018-04-30T23:59:00-0700","https://www.coupons.com/coupons/?pid=19251&nid=10&zid=vz89"
"Save $1.00","Edge® Shave Gel or Cream","on any ONE (1) Edge® Shave Gel or Cream (excludes 2 oz. & 2.75 oz.)","2018-03-04T00:01:00-0800","2018-03-31T23:59:00-0700","https://www.coupons.com/coupons/?pid=19251&nid=10&zid=vz89"
"SAVE $0.55","HORMEL® Chili","on the purchase of any two (2) HORMEL® Chili product","2018-03-01T00:01:00-0800","2018-04-30T23:59:00-0700","https://www.coupons.com/coupons/?pid=19251&nid=10&zid=vz89"
"$1.00 OFF","Maybelline® New York","on ANY ONE (1) Maybelline New York® Face product","2018-03-04T00:01:00-0800","2018-04-18T23:59:00-0700","https://www.coupons.com/coupons/?pid=19251&nid=10&zid=vz89"
"Save $5.00","Schick® Disposable Razors","on any TWO (2) Schick® Disposable Razor Packs (excludes 1 ct., Slim Twin® 2 ct. and 6 ct.)","2018-03-11T00:01:00-0800","2018-04-12T23:59:00-0700","https://www.coupons.com/coupons/?pid=19251&nid=10&zid=vz89"
"$2.00 OFF","Clairol®","ONE (1) box of Clairol® Temporary Root Touch Up Hair Color (excludes trial/travel size)","2018-03-11T00:01:00-0800","2018-04-07T23:59:00-0700","https://www.coupons.com/coupons/?pid=19251&nid=10&zid=vz89"
"Save $1.00","Gaviscon®","on any ONE (1) 12 oz or 100 count Gaviscon® Product","2018-03-11T00:01:00-0800","2018-04-25T23:59:00-0700","https://www.coupons.com/coupons/?pid=19251&nid=10&zid=vz89"
"Save $3.00","Schick® Disposable Razor","on any ONE (1) Schick® Disposable Razor Pack (excludes 1 ct., Slim Twin® 2 ct. and 6 ct.)","2018-03-11T00:01:00-0800","2018-04-12T23:59:00-0700","https://www.coupons.com/coupons/?pid=19251&nid=10&zid=vz89"
"SAVE $2.00","GLISS®","on ONE (1) GLISS® Hair Product (excludes trial and travel sizes)","2018-03-11T00:01:00-0800","2018-03-18T23:59:00-0700","https://www.coupons.com/coupons/?pid=19251&nid=10&zid=vz89"
"SAVE $2.00","Benefiber®","on any ONE (1) Benefiber® product","2018-03-11T00:01:00-0800","2018-04-15T23:59:00-0700","https://www.coupons.com/coupons/?pid=19251&nid=10&zid=vz89"
"Save $2.00","Eucerin®","On any* ONE (1) Eucerin® Body Product (8 oz. or larger) or Eucerin® Baby Product *excludes trial sizes","2018-03-11T00:01:00-0800","2018-04-01T23:59:00-0700","https://www.coupons.com/coupons/?pid=19251&nid=10&zid=vz89"
"SAVE $2.00","NIVEA® In-Shower Body Lotion","On any ONE (1) NIVEA® In-Shower Lotion Product","2018-03-11T00:01:00-0800","2018-03-24T23:59:00-0700","https://www.coupons.com/coupons/?pid=19251&nid=10&zid=vz89"
"SAVE $1.00","Love Beauty and Planet","on ONE (1) Love Beauty and Planet Hair Care or Skin Cleansing product (excluding trial & travel sizes)","2018-03-11T00:01:00-0800","2018-03-24T23:59:00-0700","https://www.coupons.com/coupons/?pid=19251&nid=10&zid=vz89"
"SAVE $1.00","DIAL®","on TWO (2) DIAL® Foaming Hand Wash, Liquid Soap Refills, and/or Bar Soap (3-bar or Larger) excludes trial and travel sizes","2018-03-11T00:01:00-0800","2018-03-18T23:59:00-0700","https://www.coupons.com/coupons/?pid=19251&nid=10&zid=vz89"
"SAVE $0.50","Purex®","on any ONE (1) Purex® Liquid Laundry Detergent (any size)","2018-03-11T00:01:00-0800","2018-04-18T23:59:00-0700","https://www.coupons.com/coupons/?pid=19251&nid=10&zid=vz89"
"$1.50 OFF","AIR WICK® FRESHMATIC® ULTRA REFILL","any ONE (1) Air Wick® Freshmatic® Ultra Refill","2018-03-11T00:01:00-0800","2018-04-14T23:59:00-0700","https://www.coupons.com/coupons/?pid=19251&nid=10&zid=vz89"
"$1.00 OFF","AIR WICK® SCENTED OIL REFILL","any ONE (1) Air Wick® Scented Oil Refill","2018-03-11T00:01:00-0800","2018-04-14T23:59:00-0700","https://www.coupons.com/coupons/?pid=19251&nid=10&zid=vz89"
